2611,응암,Eungam,06호선,610
2612,역촌,Yeokchon,06호선,611
2613,불광,Bulgwang,06호선,612
2614,독바위,Dokbawi,06호선,613
2615,연신내,Yeonsinnae,06호선,614
2616,구산,Gusan,06호선,615
2617,새절,Saejeol,06호선,616
2618,증산,Jeungsan,06호선,617
2619,디지털미디어시티,Digital Media City,06호선,618
2620,월드컵경기장,World Cup Stadium,06호선,619
2621,마포구청,Mapo-gu Office,06호선,620
2622,망원,Mangwon,06호선,621
2623,합정,Hapjeong,06호선,622
2624,상수,Sangsu,06호선,623
2625,광흥창,Gwangheungchang,06호선,624
2626,대흥,Daeheung,06호선,625
2627,공덕,Gongdeok,06호선,626
2628,효창공원앞,Hyochang park,06호선,627
2629,삼각지,Samgakji,06호선,628
2630,녹사평,Noksapyeong,06호선,629
2631,이태원,Itaewon,06호선,630
2632,한강진,Hangangjin,06호선,631
2633,버티고개,Beotigogae,06호선,632
2634,약수,Yaksu,06호선,633
2635,청구,Cheonggu,06호선,634
2636,신당,Sindang,06호선,635
2637,동묘앞,Dongmyo,06호선,636
2638,창신,Changsin,06호선,637
2639,보문,Bomun,06호선,638
2640,안암,Anam,06호선,639
2641,고려대,Korea Univ.,06호선,640
2642,월곡,Wolgok,06호선,641
2643,상월곡,Sangwolgok,06호선,642
2644,돌곶이,Dolgoji,06호선,643
2645,석계,Seokgye,06호선,644
2646,태릉입구,Taereung,06호선,645
2647,화랑대,Hwarangdae,06호선,646
2648,봉화산,Bonghwasan,06호선,647
2649,신내,Sinnae,06호선,648
