2811,암사,Amsa,08호선,810
2812,천호,Cheonho,08호선,811
2813,강동구청,Gangdong-gu Office,08호선,812
2814,몽촌토성,Mongchontoseong,08호선,813
2815,잠실,Jamsil,08호선,814
2816,석촌,Seokchon,08호선,815
2817,송파,Songpa,08호선,816
2818,가락시장,Garak Market,08호선,817
2819,문정,Munjeong,08호선,818
2820,장지,Jangji,08호선,819
2821,복정,Bokjeong,08호선,820
2828,남위례,Namwirye,08호선,821
2822,산성,Sanseong,08호선,822
2823,남한산성입구,Namhansanseong,08호선,823
2824,단대오거리,Dandaeogeori,08호선,824
2825,신흥,Sinheung,08호선,825
2826,수진,Sujin,08호선,826
2827,모란,Moran,08호선,827
