1958,대화,Daehwa,03호선,309
1957,주엽,Juyeop,03호선,310
1956,정발산,Jeongbalsan,03호선,311
1955,마두,Madu,03호선,312
1954,백석,Baekseok,03호선,313
1953,대곡,Daegok,03호선,314
1952,화정,Hwajeong,03호선,315
1951,원당,Wondang,03호선,316
1948,원흥,Wonheung,03호선,317
1950,삼송,Samsong,03호선,318
309,지축,Jichuk,03호선,319
310,구파발,Gupabal,03호선,320
311,연신내,Yeonsinnae,03호선,321
312,불광,Bulgwang,03호선,322
313,녹번,Nokbeon,03호선,323
314,홍제,Hongje,03호선,324
315,무악재,Muakjae,03호선,325
316,독립문,Dongnimmun,03호선,326
317,경복궁,Gyeongbokgung,03호선,327
318,안국,Anguk,03호선,328
319,종로3가,Jongno 3(sam)-ga,03호선,329
320,을지로3가,Euljiro 3(sam)-ga,03호선,330
321,충무로,Chungmuro,03호선,331
322,동대입구,Dongguk Univ.,03호선,332
323,약수,Yaksu,03호선,333
324,금호,Geumho,03호선,334
325,옥수,Oksu,03호선,335
326,압구정,Apgujeong,03호선,336
327,신사,Sinsa,03호선,337
328,잠원,Jamwon,03호선,338
329,고속터미널,Express Bus Terminal,03호선,339
330,교대,Seoul Nat`l Univ. of Education,03호선,340
331,남부터미널,Nambu Bus Terminal,03호선,341
332,양재,Yangjae,03호선,342
333,매봉,Maebong,03호선,343
334,도곡,Dogok,03호선,344
335,대치,Daechi,03호선,345
336,학여울,Hangnyeoul,03호선,346
337,대청,Daecheong,03호선,347
338,일원,Irwon,03호선,348
339,수서,Suseo,03호선,349
340,가락시장,Garak Market,03호선,350
341,경찰병원,National Police Hospital,03호선,351
342,오금,Ogeum,03호선,352
