2711,장암,Jangam,07호선,709
2712,도봉산,Dobongsan,07호선,710
2713,수락산,Suraksan,07호선,711
2714,마들,Madeul,07호선,712
2715,노원,Nowon,07호선,713
2716,중계,Junggye,07호선,714
2717,하계,Hagye,07호선,715
2718,공릉,Gongneung,07호선,716
2719,태릉입구,Taereung,07호선,717
2720,먹골,Meokgol,07호선,718
2721,중화,Junghwa,07호선,719
2722,상봉,Sangbong,07호선,720
2723,면목,Myeonmok,07호선,721
2724,사가정,Sagajeong,07호선,722
2725,용마산,Yongmasan,07호선,723
2726,중곡,Junggok,07호선,724
2727,군자,Gunja,07호선,725
2728,어린이대공원,Children`s  Grand Park,07호선,726
2729,건대입구,Konkuk Univ.,07호선,727
2730,뚝섬유원지,Ttukseom Park,07호선,728
2731,청담,Cheongdam,07호선,729
2732,강남구청,Gangnam-gu Office,07호선,730
2733,학동,Hak-dong,07호선,731
2734,논현,Nonhyeon,07호선,732
2735,반포,Banpo,07호선,733
2736,고속터미널,Express Bus Terminal,07호선,734
2737,내방,Naebang,07호선,735
2738,이수,Isu,07호선,736
2739,남성,Namseong,07호선,737
2740,숭실대입구,Soongsil Univ.,07호선,738
2741,상도,Sangdo,07호선,739
2742,장승배기,Jangseungbaegi,07호선,740
2743,신대방삼거리,Sindaebangsamgeori,07호선,741
2744,보라매,Boramae,07호선,742
2745,신풍,Sinpung,07호선,743
2746,대림,Daerim,07호선,744
2747,남구로,Namguro,07호선,745
2748,가산디지털단지,Gasan Digital Complex,07호선,746
2749,철산,Cheolsan,07호선,747
2750,광명사거리,Gwangmyeongsageori,07호선,748
2751,천왕,Cheonwang,07호선,749
2752,온수,Onsu,07호선,750
3753,까치울,Kkachiul,07호선,751
3754,부천종합운동장,Bucheon Stadium,07호선,752
3755,춘의,Chunui,07호선,753
3756,신중동,Sinjung-dong,07호선,754
3757,부천시청,Bucheon City Hall,07호선,755
3758,상동,Sang-dong,07호선,756
3759,삼산체육관,Samsan Gymnasium,07호선,757
3760,굴포천,Gulpocheon,07호선,758
3761,부평구청,Bupyeong-gu Office,07호선,759
3762,산곡,Sangok,07호선,760
3763,석남,Seongnam,07호선,761
