4101,개화,Gaehwa,09호선,901
4102,김포공항,Gimpo Intl. Airport,09호선,902
4103,공항시장,Airport Market,09호선,903
4104,신방화,Sinbanghwa,09호선,904
4105,마곡나루,Magongnaru,09호선,905
4106,양천향교,Yangcheon Hyanggyo,09호선,906
4107,가양,Gayang,09호선,907
4108,증미,Jeungmi,09호선,908
4109,등촌,Deungchon,09호선,909
4110,염창,Yeomchang,09호선,910
4111,신목동,Sinmokdong,09호선,911
4112,선유도,Seonyudo,09호선,912
4113,당산,Dangsan,09호선,913
4114,국회의사당,National Assembly,09호선,914
4115,여의도,Yeouido,09호선,915
4116,샛강,Saetgang,09호선,916
4117,노량진,Noryangjin,09호선,917
4118,노들,Nodeul,09호선,918
4119,흑석,Heukseok,09호선,919
4120,동작,Dongjak,09호선,920
4121,구반포,Gubanpo,09호선,921
4122,신반포,Sinbanpo,09호선,922
4123,고속터미널,Express Bus Terminal,09호선,923
4124,사평,Sapyeong,09호선,924
4125,신논현,Sinnonhyeon,09호선,925
4126,언주,Eonju,09호선,926
4127,선정릉,Seonjeongneung,09호선,927
4128,삼성중앙,Samseong Jungang,09호선,928
4129,봉은사,Bongeunsa,09호선,929
4130,종합운동장,Sports Complex,09호선,930
4131,삼전,Samjeon,09호선,931
4132,석촌고분,Seokchon Gobun,09호선,932
4133,석촌,Seokchon(Hansol Hospital),09호선,933
4134,송파나루,Songpanaru,09호선,934
4135,한성백제,Hanseong Baekje,09호선,935
4136,올림픽공원,Olympic Park,09호선,936
4137,둔촌오륜,Dunchon Oryun,09호선,937
4138,중앙보훈병원,VHS Medical Center,09호선,938
