201,시청,City Hall,02호선,201
202,을지로입구,Euljiro 1(il)-ga,02호선,202
203,을지로3가,Euljiro 3(sam)-ga,02호선,203
204,을지로4가,Euljiro 4(sa)-ga,02호선,204
205,동대문역사문화공원,Dongdaemun History  Culture Park,02호선,205
206,신당,Sindang,02호선,206
207,상왕십리,Sangwangsimni,02호선,207
208,왕십리,Wangsimni,02호선,208
209,한양대,Hanyang Univ.,02호선,209
210,뚝섬,Ttukseom,02호선,210
211,성수,Seongsu,02호선,211
212,건대입구,Konkuk Univ.,02호선,212
213,구의,Guui,02호선,213
214,강변,Gangbyeon,02호선,214
215,잠실나루,Jamsillaru,02호선,215
216,잠실,Jamsil,02호선,216
217,잠실새내,Jamsilsaenae,02호선,217
218,종합운동장,Sports Complex,02호선,218
219,삼성,Samseong,02호선,219
220,선릉,Seolleung,02호선,220
221,역삼,Yeoksam,02호선,221
222,강남,Gangnam,02호선,222
223,교대,Seoul Nat`l Univ. of Education,02호선,223
224,서초,Seocho,02호선,224
225,방배,Bangbae,02호선,225
226,사당,Sadang,02호선,226
227,낙성대,Nakseongdae,02호선,227
228,서울대입구,Seoul Nat`l Univ.,02호선,228
229,봉천,Bongcheon,02호선,229
230,신림,Sillim,02호선,230
231,신대방,Sindaebang,02호선,231
232,구로디지털단지,Guro Digital Complex,02호선,232
233,대림,Daerim,02호선,233
234,신도림,Sindorim,02호선,234
235,문래,Mullae,02호선,235
236,영등포구청,Yeongdeungpo-gu Office,02호선,236
237,당산,Dangsan,02호선,237
238,합정,Hapjeong,02호선,238
239,홍대입구,Hongik Univ.,02호선,239
240,신촌,Sinchon,02호선,240
241,이대,Ewha Womans Univ.,02호선,241
242,아현,Ahyeon,02호선,242
243,충정로,Chungjeongno,02호선,243
244,용답,Yongdap,02호선,211-1
245,신답,Sindap,02호선,211-2
250,용두,Yongdu,02호선,211-3
246,신설동,Sinseol-dong,02호선,211-4
247,도림천,Dorimcheon,02호선,234-1
248,양천구청,Yangcheon-gu Office,02호선,234-2
249,신정네거리,Sinjeongnegeori,02호선,234-3
200,까치산,Kkachisan,02호선,234-4
